Bearing_Code,Component,Extent_of_Damage,Damage_Method,Damage_Type
KA01,outer_ring,1,EDM,Artificial_Damage
KA03,outer_ring,2,electric_engraver,Artificial_Damage
KA05,outer_ring,1,electric_engraver,Artificial_Damage
KA06,outer_ring,2,electric_engraver,Artificial_Damage
KA07,outer_ring,1,drilling,Artificial_Damage
KA08,outer_ring,2,drilling,Artificial_Damage
KA09,outer_ring,2,drilling,Artificial_Damage
KI01,inner_ring,1,EDM,Artificial_Damage
KI03,inner_ring,1,electric_engraver,Artificial_Damage
KI05,inner_ring,1,electric_engraver,Artificial_Damage
KI07,inner_ring,2,electric_engraver,Artificial_Damage
KI08,inner_ring,2,electric_engraver,Artificial_Damage
KA04,outer_ring,1,fatigue_pitting,Real_Damage
KA15,outer_ring,1,Plastic_deform_Indentations,Real_Damage
KA16,outer_ring,2,fatigue_pitting,Real_Damage
KA22,outer_ring,1,fatigue_pitting,Real_Damage
KA30,outer_ring,1,Plastic_deform_Indentations,Real_Damage
KB23,inner_ring_and_outer_ring,2,fatigue_pitting,Real_Damage
KB24,inner_ring_and_outer_ring,3,fatigue_pitting,Real_Damage
KB27,inner_ring_and_outer_ring,1,Plastic_deform_Indentations,Real_Damage
KI04,inner_ring,1,fatigue_pitting,Real_Damage
KI14,inner_ring,1,fatigue_pitting,Real_Damage
KI16,inner_ring,3,fatigue_pitting,Real_Damage
KI17,inner_ring,1,fatigue_pitting,Real_Damage
KI18,inner_ring,2,fatigue_pitting,Real_Damage
KI21,inner_ring,1,fatigue_pitting,Real_Damage
